tool	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy
SpliceAI	126	102	0	0.0	1.0	0.8095238095238095	0.81
Eigen	126	88	26	0.20634920634920634	0.7936507936507936	0.88	0.7
TraP	126	48	1	0.007936507936507936	0.9920634920634921	0.384	0.38
GERP	126	16	1	0.007936507936507936	0.9920634920634921	0.128	0.13
phyloP	126	17	1	0.007936507936507936	0.9920634920634921	0.136	0.13
S-CAP	126	12	113	0.8968253968253969	0.10317460317460317	0.9230769230769231	0.1
FunSeq2	126	9	2	0.015873015873015872	0.9841269841269841	0.07258064516129033	0.07
LINSIGHT	126	8	1	0.007936507936507936	0.9920634920634921	0.064	0.06
CADD	126	7	0	0.0	1.0	0.05555555555555555	0.06
phastCons	126	7	66	0.5238095238095238	0.47619047619047616	0.11666666666666667	0.06
kipoiSplice4	126	5	105	0.8333333333333334	0.16666666666666666	0.23809523809523808	0.04
GWAVA	126	2	113	0.8968253968253969	0.10317460317460317	0.15384615384615385	0.02
ReMM	126	3	0	0.0	1.0	0.023809523809523808	0.02
HAL	126	2	110	0.873015873015873	0.12698412698412698	0.125	0.02
SiPhy	126	3	13	0.10317460317460317	0.8968253968253969	0.02654867256637168	0.02
DANN	126	1	1	0.007936507936507936	0.9920634920634921	0.008	0.01
SPIDEX	126	1	95	0.753968253968254	0.24603174603174602	0.03225806451612903	0.01
fitCons	126	1	25	0.1984126984126984	0.8015873015873016	0.009900990099009901	0.01
dbscSNV	126	0	122	0.9682539682539683	0.031746031746031744	0.0	0.0
