tool	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy
SpliceAI	127	103	0	0.0	1.0	0.8110236220472441	0.81
Eigen	127	90	25	0.1968503937007874	0.8031496062992126	0.8823529411764706	0.71
TraP	127	50	0	0.0	1.0	0.3937007874015748	0.39
phyloP	127	19	1	0.007874015748031496	0.9921259842519685	0.15079365079365079	0.15
GERP	127	17	1	0.007874015748031496	0.9921259842519685	0.1349206349206349	0.13
S-CAP	127	12	114	0.8976377952755905	0.10236220472440945	0.9230769230769231	0.09
FunSeq2	127	9	2	0.015748031496062992	0.984251968503937	0.072	0.07
LINSIGHT	127	9	1	0.007874015748031496	0.9921259842519685	0.07142857142857142	0.07
CADD	127	8	0	0.0	1.0	0.06299212598425197	0.06
phastCons	127	8	67	0.5275590551181102	0.47244094488188976	0.13333333333333333	0.06
kipoiSplice4	127	5	106	0.8346456692913385	0.16535433070866143	0.23809523809523808	0.04
ReMM	127	4	0	0.0	1.0	0.031496062992125984	0.03
SiPhy	127	4	13	0.10236220472440945	0.8976377952755905	0.03508771929824561	0.03
GWAVA	127	2	114	0.8976377952755905	0.10236220472440945	0.15384615384615385	0.02
DANN	127	2	0	0.0	1.0	0.015748031496062992	0.02
HAL	127	2	111	0.8740157480314961	0.12598425196850394	0.125	0.02
SPIDEX	127	1	94	0.7401574803149606	0.25984251968503935	0.030303030303030304	0.01
fitCons	127	1	25	0.1968503937007874	0.8031496062992126	0.00980392156862745	0.01
dbscSNV	127	0	123	0.968503937007874	0.031496062992125984	0.0	0.0
