tool	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy
SpliceAI	125	101	0	0.0	1.0	0.808	0.81
Eigen	125	88	25	0.2	0.8	0.88	0.7
TraP	125	48	0	0.0	1.0	0.384	0.38
phyloP	125	17	1	0.008	0.992	0.13709677419354838	0.14
GERP	125	16	1	0.008	0.992	0.12903225806451613	0.13
S-CAP	125	12	112	0.896	0.104	0.9230769230769231	0.1
CADD	125	7	0	0.0	1.0	0.056	0.06
FunSeq2	125	8	2	0.016	0.984	0.06504065040650407	0.06
LINSIGHT	125	8	1	0.008	0.992	0.06451612903225806	0.06
phastCons	125	7	66	0.528	0.472	0.11864406779661017	0.06
kipoiSplice4	125	5	104	0.832	0.168	0.23809523809523808	0.04
GWAVA	125	2	112	0.896	0.104	0.15384615384615385	0.02
ReMM	125	3	0	0.0	1.0	0.024	0.02
HAL	125	2	109	0.872	0.128	0.125	0.02
SiPhy	125	3	13	0.104	0.896	0.026785714285714284	0.02
DANN	125	1	0	0.0	1.0	0.008	0.01
SPIDEX	125	1	94	0.752	0.248	0.03225806451612903	0.01
fitCons	125	1	25	0.2	0.8	0.01	0.01
dbscSNV	125	0	121	0.968	0.032	0.0	0.0
